Work Order Number,"Work Order: Type
Name","Work Order:
Street
Number","Work
Order:
Street
Direction","Work Order:
Street Name","Work
Order:
Street Type",Ward,"Work
Order:
Created
Time Value","Work
Order:
Completed
Time Value",Status,Work Order: Description
19-02090319,"Tree Planting -
Green Streets",5520,W,BELMONT,AVE,30,3:18 PM,4:21 PM,Closed,7D 10-25-2019 3OP 07CC
19-02090413,"Tree Planting -
Green Streets",5611,W,BELMONT,AVE,31,3:31 PM,4:33 PM,Closed,7D 10-25-2019 1OP 01ZF
19-02090429,"Tree Planting -
Green Streets",5617,W,BELMONT,AVE,31,3:35 PM,4:36 PM,Closed,7D 10-25-2019 1OP 06ZB
19-02090452,"Tree Planting -
Green Streets",5618,W,BELMONT,AVE,30,3:38 PM,4:39 PM,Closed,7D 10-25-2019 1OP 25ZE
19-02090477,"Tree Planting -
Green Streets",5701,W,BELMONT,AVE,30,3:41 PM,4:43 PM,Closed,7D 10-25-2019 2OP 07CC
19-02090546,"Tree Planting -
Green Streets",5725,W,BELMONT,AVE,30,3:49 PM,4:51 PM,Closed,7D 10-25-2019 1OP 06ZB
19-02090568,"Tree Planting -
Green Streets",2746,W,CHICAGO,AVE,26,3:53 PM,4:55 PM,Closed,7D 10-21-2019 1OP 01ZF
19-02092397,"Tree Planting -
Green Streets",5730,W,BELMONT,AVE,30,9:23 AM,10:28 AM,Closed,7D 10-25-2019 2OP 25ZE
19-02092440,"Tree Planting -
Green Streets",3220,W,CHICAGO,AVE,27,9:34 AM,10:39 AM,Closed,7D 10-21-2019  1OP 06ZB
19-02092479,"Tree Planting -
Green Streets",3246,W,CHICAGO,AVE,27,9:41 AM,10:45 AM,Closed,7D 10-21-2019  1OP 01ZF
19-02092509,"Tree Planting -
Green Streets",3259,W,CHICAGO,AVE,27,9:47 AM,10:49 AM,Closed,7D 10-21-2019 1OP 13AG
19-02092553,"Tree Planting -
Green Streets",3352,W,CHICAGO,AVE,27,9:52 AM,10:54 AM,Closed,7D 10-21-2019 1OP 06ZB
19-02092590,"Tree Planting -
Green Streets",3434,W,CHICAGO,AVE,27,9:57 AM,11:02 AM,Closed,7D 10-21-2019 1OP 07CC
19-02092635,"Tree Planting -
Green Streets",3439,W,CHICAGO,AVE,27,10:05 AM,11:08 AM,Closed,7D 10-21-19 1OP 01ZF
19-02092664,"Tree Planting -
Green Streets",3507,W,CHICAGO,AVE,27,10:12 AM,11:15 AM,Closed,7D 10-21-2019 1OP 25ZE
19-02092702,"Tree Planting -
Green Streets",3523,W,CHICAGO,AVE,27,10:17 AM,11:19 AM,Closed,7D 10-21-2019 1OP 07CC
19-02092721,"Tree Planting -
Green Streets",3543,W,CHICAGO,AVE,27,10:21 AM,11:25 AM,Closed,7D 10-21-2019 1OP 06ZB
19-02092772,"Tree Planting -
Green Streets",3550,W,CHICAGO,AVE,27,10:26 AM,11:28 AM,Closed,7D 10-22-2019 1OP 01ZF
19-02092857,"Tree Planting -
Green Streets",3552,W,CHICAGO,AVE,27,10:36 AM,11:39 AM,Closed,7D 10-22-2019 1OP 06ZB
19-02092889,"Tree Planting -
Green Streets",3608,W,CHICAGO,AVE,27,10:40 AM,11:46 AM,Closed,7D 10-22-2019 1OP 25ZE
19-02092936,"Tree Planting -
Green Streets",3722,W,CHICAGO,AVE,27,10:47 AM,11:49 AM,Closed,7D 10-22-2019 1OP 07CC
19-02092955,"Tree Planting -
Green Streets",3758,W,CHICAGO,AVE,27,10:50 AM,11:52 AM,Closed,7D 10-22-2019 1OP 07CC
19-02092970,"Tree Planting -
Green Streets",3807,W,CHICAGO,AVE,27,10:53 AM,11:55 AM,Closed,7D 10-22-2019 1OP 01ZF
19-02093040,"Tree Planting -
Green Streets",3821,W,CHICAGO,AVE,27,10:57 AM,11:59 AM,Closed,7D 10-22-2019 1OP 13AG
19-02093063,"Tree Planting -
Green Streets",3842,W,CHICAGO,AVE,37,11:01 AM,12:02 PM,Closed,7D 10-22-2019 1OP 25ZE
19-02093080,"Tree Planting -
Green Streets",3902,W,CHICAGO,AVE,37,11:04 AM,12:09 PM,Closed,7D 10-22-2019 1OP 07CC
19-02093136,"Tree Planting -
Green Streets",3913,W,CHICAGO,AVE,37,11:11 AM,12:14 PM,Closed,7D 10-22-2019 1OP 01ZF
19-02093211,"Tree Planting -
Green Streets",3923,W,CHICAGO,AVE,37,11:16 AM,12:24 PM,Closed,7D 10-22-2019 1OP 13AG
19-02093299,"Tree Planting -
Green Streets",4200,W,CHICAGO,AVE,37,11:26 AM,12:29 PM,Closed,7D 10-22-2019 1OP 01ZF
19-02093322,"Tree Planting -
Green Streets",4240,W,CHICAGO,AVE,37,11:30 AM,12:33 PM,Closed,7D 10-22-2019 1OP 25ZE
19-02093377,"Tree Planting -
Green Streets",4715,W,CHICAGO,AVE,28,11:35 AM,12:37 PM,Closed,7D 10-22-2019 1OP 06ZB
19-02093400,"Tree Planting -
Green Streets",4800,W,CHICAGO,AVE,37,11:39 AM,12:40 PM,Closed,7D 10-22-2019 1OP 25ZE
19-02093429,"Tree Planting -
Green Streets",4941,W,CHICAGO,AVE,37,11:42 AM,12:45 PM,Closed,7D 10-22-2019 1OP 07CC
19-02094691,"Tree Planting -
Green Streets",750,W,BRIAR,PL,44,2:49 PM,3:51 PM,Closed,7D 10/05/2019 1OP 04ZE
19-02094734,"Tree Planting -
Green Streets",3319,N,CLIFTON,AVE,44,2:57 PM,4:11 PM,Closed,"7D 10/05/2019 4 04ZE, 2 01AF, 2 07CC 8OP"
19-02094780,"Tree Planting -
Green Streets",1151,W,EDDY,ST,44,3:04 PM,4:06 PM,Closed,7D 10/25/2019 3P 24ZZ
19-02094802,"Tree Planting -
Green Streets",1456,W,HENDERSON,ST,44,3:08 PM,4:10 PM,Closed,7D 10.25.19 1P 02FB
19-02094827,"Tree Planting -
Green Streets",1424,W,MELROSE,ST,44,3:13 PM,4:13 PM,Closed,7D 10/05/2019 1P 02FB
19-02094848,"Tree Planting -
Green Streets",402,W,ERIE,ST,42,3:18 PM,4:19 PM,Closed,"7D, 12 BUMP OUTS,  2 28ZG, 1 32AD, 5 24ZZ, 4 02UC  359
W THROUGH 459 W ERIE NORTH AND SOUTH SIDE OF"
19-02094867,"Tree Planting -
Green Streets",5002,W,CHICAGO,AVE,37,3:21 PM,4:50 PM,Closed,7D  10-21-2019 1OP 01ZF
19-02097269,"Tree Planting -
Green Streets",5021,W,CHICAGO,AVE,37,9:51 AM,10:53 AM,Closed,7D 10-21-2019 1OP 25ZE
19-02097295,"Tree Planting -
Green Streets",5234,W,CHICAGO,AVE,37,9:54 AM,10:56 AM,Closed,7D 10-21-2019 1OP 06ZB
19-02097319,"Tree Planting -
Green Streets",5410,W,CHICAGO,AVE,37,9:57 AM,10:59 AM,Closed,7D 10-21-2019 1OP 07CC
19-02097340,"Tree Planting -
Green Streets",5434,W,CHICAGO,AVE,37,10:01 AM,11:05 AM,Closed,7D 10-21-2019 3OP
19-02097404,"Tree Planting -
Green Streets",5450,W,CHICAGO,AVE,37,10:09 AM,11:15 AM,Closed,7D 10-21-2019 5OP 06ZB
19-02097456,"Tree Planting -
Green Streets",4615,W,CHICAGO,AVE,28,10:18 AM,11:21 AM,Closed,7D 10-22-2019 2OP 01ZF
19-02097481,"Tree Planting -
Green Streets",4851,W,CHICAGO,AVE,37,10:23 AM,11:45 AM,Closed,7D 10-22-2019 3OP 07CC
19-02097683,"Tree Planting -
Green Streets",4856,W,CHICAGO,AVE,37,10:47 AM,11:50 AM,Closed,7D 10-22-2019 OP2 01ZF
19-02097721,"Tree Planting -
Green Streets",4909,W,CHICAGO,AVE,37,10:51 AM,11:55 AM,Closed,7D 10-22-2019 2OP 13AG
19-02097762,"Tree Planting -
Green Streets",4938,W,CHICAGO,AVE,37,10:56 AM,12:01 PM,Closed,7D 10-22-2019 4OP 25ZE
19-02097852,"Tree Planting -
Green Streets",5011,W,CHICAGO,AVE,37,11:03 AM,12:23 PM,Closed,7D 10-21-2019 3OP 13AG
19-02097986,"Tree Planting -
Green Streets",5116,W,CHICAGO,AVE,37,11:26 AM,12:32 PM,Closed,7D 10-21-2019 4OP 07CC
19-02098067,"Tree Planting -
Green Streets",5352,W,CHICAGO,AVE,37,11:34 AM,12:38 PM,Closed,7D 10-21-2019  2OP 25ZE
19-02098117,"Tree Planting -
Green Streets",5649,W,CHICAGO,AVE,29,11:41 AM,12:43 PM,Closed,7D 10-21-2019 1OP 25ZE
19-02098139,"Tree Planting -
Green Streets",5725,W,CHICAGO,AVE,29,11:45 AM,12:48 PM,Closed,7D 10-21-2019 2OP 07CC
19-02098219,"Tree Planting -
Green Streets",5820,W,CHICAGO,AVE,29,11:49 AM,12:53 PM,Closed,7D 10-22-2019 3OP 07CC
19-02098265,"Tree Planting -
Green Streets",5838,W,CHICAGO,AVE,29,11:54 AM,12:57 PM,Closed,7D 10-21-2019 2OP 01ZF
19-02098314,"Tree Planting -
Green Streets",5708,W,BELMONT,AVE,30,12:03 PM,1:06 PM,Closed,7D 10-25-2019 3OP 01ZF
19-02098343,"Tree Planting -
Green Streets",5909,W,BELMONT,AVE,30,12:09 PM,1:15 PM,Closed,7D 10-25-2019 5OP 07CC
19-02098431,"Tree Planting -
Green Streets",3220,W,CHICAGO,AVE,27,12:24 PM,1:30 PM,Closed,7D 10-21-2019 3OP 13AG
19-02098523,"Tree Planting -
Green Streets",3239,W,CHICAGO,AVE,27,12:32 PM,1:35 PM,Closed,7D 10-21-2019 2OP 07CC
19-02099360,"Tree Planting -
Green Streets",3310,W,CHICAGO,AVE,27,2:41 PM,3:44 PM,Closed,7D 10-21-2019 OP 13AG
19-02099414,"Tree Planting -
Green Streets",3332,W,CHICAGO,AVE,27,2:45 PM,3:49 PM,Closed,7D 10/21/2019 2OP 07CC
19-02099459,"Tree Planting -
Green Streets",3347,W,CHICAGO,AVE,27,2:51 PM,3:54 PM,Closed,7D 10/21/2019 3OP 01ZF
19-02099496,"Tree Planting -
Green Streets",3401,W,CHICAGO,AVE,27,2:56 PM,4:00 PM,Closed,7D 10/21/2019 3OP 13AG
19-02099522,"Tree Planting -
Green Streets",3447,W,CHICAGO,AVE,27,3:01 PM,4:05 PM,Closed,7D 10/21/2019 2OP 13AG
19-02099566,"Tree Planting -
Green Streets",3524,W,CHICAGO,AVE,27,3:07 PM,4:11 PM,Closed,7D 10/21/2019 3OP 01ZF
19-02099608,"Tree Planting -
Green Streets",3652,W,CHICAGO,AVE,27,3:13 PM,4:17 PM,Closed,7D 10/22/2019 3OP 07CC
19-02099633,"Tree Planting -
Green Streets",3926,W,CHICAGO,AVE,37,3:18 PM,10:42 AM,Closed,7D 10/22/2019 2OP 13AG
19-02099655,"Tree Planting -
Green Streets",4146,W,CHICAGO,AVE,37,3:25 PM,4:28 PM,Closed,7D 10/22/2019 2OP 07CC
19-02099688,"Tree Planting -
Green Streets",4224,W,CHICAGO,AVE,37,3:32 PM,4:34 PM,Closed,7D 10/22/2019 2OP 13AG
